Census Tract,State,FIPS Code,Formatted FIPS,"Affordable market share, as of 2018."
17031242900,IL,17031242900,17031242900,0
17031243000,IL,17031243000,17031243000,0
17031243100,IL,17031243100,17031243100,0
17031243200,IL,17031243200,17031243200,0
17031243300,IL,17031243300,17031243300,0
17031243400,IL,17031243400,17031243400,0
17031243500,IL,17031243500,17031243500,14.01
17031250200,IL,17031250200,17031250200,0
17031250300,IL,17031250300,17031250300,0.44
17031250400,IL,17031250400,17031250400,0
17031250500,IL,17031250500,17031250500,0
17031250600,IL,17031250600,17031250600,0
17031250700,IL,17031250700,17031250700,0
17031250800,IL,17031250800,17031250800,0
17031251000,IL,17031251000,17031251000,0
17031251100,IL,17031251100,17031251100,21.75
17031251200,IL,17031251200,17031251200,0
17031251300,IL,17031251300,17031251300,0
17031251400,IL,17031251400,17031251400,23.5
17031251500,IL,17031251500,17031251500,52.87
17031251600,IL,17031251600,17031251600,0
17031251700,IL,17031251700,17031251700,0
17031251800,IL,17031251800,17031251800,66.28
17031251900,IL,17031251900,17031251900,83.64
17031252000,IL,17031252000,17031252000,43.56
17031252101,IL,17031252101,17031252101,40.45
17031252102,IL,17031252102,17031252102,72.79
17031252201,IL,17031252201,17031252201,16.03
17031252202,IL,17031252202,17031252202,92.99
17031260100,IL,17031260100,17031260100,182.68
17031260200,IL,17031260200,17031260200,63.79
17031260300,IL,17031260300,17031260300,52.64
17031260400,IL,17031260400,17031260400,0
17031260500,IL,17031260500,17031260500,2.51
17031260600,IL,17031260600,17031260600,0
17031260700,IL,17031260700,17031260700,2.16
17031260800,IL,17031260800,17031260800,4.9
17031260900,IL,17031260900,17031260900,22.27
17031261000,IL,17031261000,17031261000,0
17031270500,IL,17031270500,17031270500,57.81
17031271200,IL,17031271200,17031271200,0
17031271300,IL,17031271300,17031271300,16.27
17031271400,IL,17031271400,17031271400,112.24
17031271500,IL,17031271500,17031271500,17.61
17031271800,IL,17031271800,17031271800,0
17031280100,IL,17031280100,17031280100,4.66
17031280400,IL,17031280400,17031280400,121.81
17031280800,IL,17031280800,17031280800,306.02
17031280900,IL,17031280900,17031280900,316.22
17031281900,IL,17031281900,17031281900,0
17031282700,IL,17031282700,17031282700,0
17031282800,IL,17031282800,17031282800,0
17031283100,IL,17031283100,17031283100,45.05
17031283200,IL,17031283200,17031283200,185.36
17031283800,IL,17031283800,17031283800,77.99
17031290900,IL,17031290900,17031290900,20.25
17031291200,IL,17031291200,17031291200,123.99
17031291600,IL,17031291600,17031291600,0
17031292200,IL,17031292200,17031292200,15.51
17031292400,IL,17031292400,17031292400,34.66
17031292500,IL,17031292500,17031292500,0
17031300500,IL,17031300500,17031300500,0
17031300600,IL,17031300600,17031300600,0
17031300700,IL,17031300700,17031300700,0
17031300800,IL,17031300800,17031300800,0
17031300900,IL,17031300900,17031300900,0
17031301100,IL,17031301100,17031301100,0
17031301200,IL,17031301200,17031301200,14.8
17031301600,IL,17031301600,17031301600,2.61
17031301701,IL,17031301701,17031301701,0
17031301702,IL,17031301702,17031301702,0
17031301801,IL,17031301801,17031301801,0
17031301802,IL,17031301802,17031301802,0
17031301803,IL,17031301803,17031301803,0
17031310200,IL,17031310200,17031310200,0
17031310300,IL,17031310300,17031310300,50.29
17031310400,IL,17031310400,17031310400,0
17031310500,IL,17031310500,17031310500,0
17031310600,IL,17031310600,17031310600,23.37
17031310700,IL,17031310700,17031310700,0
17031310800,IL,17031310800,17031310800,0
17031310900,IL,17031310900,17031310900,2.07
17031320100,IL,17031320100,17031320100,0
17031320400,IL,17031320400,17031320400,25.97
17031320600,IL,17031320600,17031320600,19.95
17031330100,IL,17031330100,17031330100,45.9
17031330200,IL,17031330200,17031330200,262.83
17031340300,IL,17031340300,17031340300,31.04
17031340400,IL,17031340400,17031340400,0
17031340500,IL,17031340500,17031340500,63.8
17031340600,IL,17031340600,17031340600,143.54
17031350100,IL,17031350100,17031350100,0
17031350400,IL,17031350400,17031350400,103.91
17031351000,IL,17031351000,17031351000,2.31
17031351100,IL,17031351100,17031351100,252.25
17031351400,IL,17031351400,17031351400,107.96
17031351500,IL,17031351500,17031351500,181.25
17031360200,IL,17031360200,17031360200,249.6
17031380100,IL,17031380100,17031380100,15.14
17031380200,IL,17031380200,17031380200,158.56
17031380500,IL,17031380500,17031380500,169.6
17031380700,IL,17031380700,17031380700,28.08
17031381200,IL,17031381200,17031381200,86.9
17031381400,IL,17031381400,17031381400,19.51
17031381500,IL,17031381500,17031381500,43.62
17031381700,IL,17031381700,17031381700,0
17031381800,IL,17031381800,17031381800,44.16
17031381900,IL,17031381900,17031381900,131.3
17031390100,IL,17031390100,17031390100,52.23
17031390200,IL,17031390200,17031390200,38.46
17031390300,IL,17031390300,17031390300,161.03
17031390400,IL,17031390400,17031390400,108.33
17031390500,IL,17031390500,17031390500,9.34
17031390600,IL,17031390600,17031390600,64.68
17031390700,IL,17031390700,17031390700,27.81
17031400300,IL,17031400300,17031400300,80.66
17031400400,IL,17031400400,17031400400,66.37
17031400500,IL,17031400500,17031400500,100.45
17031400800,IL,17031400800,17031400800,98.5
17031410100,IL,17031410100,17031410100,0
17031410200,IL,17031410200,17031410200,0
17031410500,IL,17031410500,17031410500,24.31
17031410600,IL,17031410600,17031410600,0
17031410700,IL,17031410700,17031410700,0
17031410800,IL,17031410800,17031410800,27
17031410900,IL,17031410900,17031410900,4.94
17031411000,IL,17031411000,17031411000,0.6
17031411100,IL,17031411100,17031411100,0
17031411200,IL,17031411200,17031411200,0
17031420100,IL,17031420100,17031420100,182.5
17031420200,IL,17031420200,17031420200,23.42
17031420300,IL,17031420300,17031420300,88.56
17031420400,IL,17031420400,17031420400,215.84
17031420500,IL,17031420500,17031420500,233.23
17031420600,IL,17031420600,17031420600,66.95
17031420700,IL,17031420700,17031420700,32.5
17031420800,IL,17031420800,17031420800,108.46
17031421200,IL,17031421200,17031421200,63.93
17031430101,IL,17031430101,17031430101,41.44
17031430102,IL,17031430102,17031430102,70.33
17031430200,IL,17031430200,17031430200,101.36
17031430300,IL,17031430300,17031430300,63.71
17031430400,IL,17031430400,17031430400,0
17031430500,IL,17031430500,17031430500,95.45
17031430600,IL,17031430600,17031430600,118.64
17031430700,IL,17031430700,17031430700,27.15
17031430800,IL,17031430800,17031430800,0
17031430900,IL,17031430900,17031430900,26.32
17031431200,IL,17031431200,17031431200,4.07
17031431301,IL,17031431301,17031431301,2.72
17031431302,IL,17031431302,17031431302,8.11
17031431400,IL,17031431400,17031431400,21.84
17031440101,IL,17031440101,17031440101,11
17031440102,IL,17031440102,17031440102,14.81
17031440201,IL,17031440201,17031440201,2.51
17031440202,IL,17031440202,17031440202,31
17031440300,IL,17031440300,17031440300,0
17031440600,IL,17031440600,17031440600,0
17031440700,IL,17031440700,17031440700,0
17031440800,IL,17031440800,17031440800,21.28
17031440900,IL,17031440900,17031440900,0
17031450300,IL,17031450300,17031450300,0
17031460100,IL,17031460100,17031460100,0
17031460200,IL,17031460200,17031460200,0
17031460301,IL,17031460301,17031460301,5.05
17031460302,IL,17031460302,17031460302,0
17031460400,IL,17031460400,17031460400,0
17031460500,IL,17031460500,17031460500,10
17031460600,IL,17031460600,17031460600,0
17031460700,IL,17031460700,17031460700,189.88
17031461000,IL,17031461000,17031461000,102.4
17031470100,IL,17031470100,17031470100,31.08
17031480100,IL,17031480100,17031480100,0
17031480200,IL,17031480200,17031480200,0
17031480300,IL,17031480300,17031480300,6.32
17031480400,IL,17031480400,17031480400,0
17031480500,IL,17031480500,17031480500,83.94
17031490300,IL,17031490300,17031490300,0
17031490400,IL,17031490400,17031490400,0
17031490500,IL,17031490500,17031490500,0
17031490600,IL,17031490600,17031490600,0
17031490700,IL,17031490700,17031490700,0
17031490800,IL,17031490800,17031490800,22.87
17031490901,IL,17031490901,17031490901,98.2
17031490902,IL,17031490902,17031490902,62.15
17031491000,IL,17031491000,17031491000,34.98
17031491100,IL,17031491100,17031491100,0
17031491200,IL,17031491200,17031491200,0
17031491300,IL,17031491300,17031491300,0
17031491400,IL,17031491400,17031491400,2.19
17031500100,IL,17031500100,17031500100,0
17031500200,IL,17031500200,17031500200,161.85
17031500300,IL,17031500300,17031500300,0
17031510100,IL,17031510100,17031510100,0
17031510200,IL,17031510200,17031510200,0
17031510300,IL,17031510300,17031510300,95.01
