"City","State","FIPS Code","Formatted FIPS","Affordable market share, as of 2018."
"Ellisville","IL","1723529","=""1723529""","N/A"
"Ellsworth","IL","1723555","=""1723555""","N/A"
"Elmhurst","IL","1723620","=""1723620""","9.44"
"Elmwood","IL","1723698","=""1723698""","4.82"
"Elmwood Park","IL","1723724","=""1723724""","5.41"
"El Paso","IL","1723737","=""1723737""","2.61"
"Elsah","IL","1723776","=""1723776""","N/A"
"Elvaston","IL","1723841","=""1723841""","N/A"
"Elwood","IL","1723945","=""1723945""","0.00"
"Emden","IL","1723971","=""1723971""","N/A"
"Emington","IL","1724062","=""1724062""","N/A"
"Energy","IL","1724166","=""1724166""","16.47"
"Enfield","IL","1724179","=""1724179""","N/A"
"Equality","IL","1724348","=""1724348""","N/A"
"Erie","IL","1724374","=""1724374""","6.52"
"Essex","IL","1724452","=""1724452""","N/A"
"Eureka","IL","1724543","=""1724543""","55.35"
"Evanston","IL","1724582","=""1724582""","N/A"
"Evansville","IL","1724608","=""1724608""","N/A"
"Evergreen Park","IL","1724634","=""1724634""","0.79"
"Ewing","IL","1724673","=""1724673""","N/A"
"Exeter","IL","1724699","=""1724699""","N/A"
"Fairbury","IL","1724764","=""1724764""","4.99"
"Fairfield","IL","1724816","=""1724816""","37.76"
"Fairmont","IL","1724920","=""1724920""","16.82"
"Fairmont City","IL","1724933","=""1724933""","N/A"
"Fairmount","IL","1724985","=""1724985""","N/A"
"Fairview","IL","1725063","=""1725063""","N/A"
"Fairview Heights","IL","1725141","=""1725141""","0.00"
"Farina","IL","1725375","=""1725375""","N/A"
"Farmer City","IL","1725414","=""1725414""","17.65"
"Farmersville","IL","1725440","=""1725440""","N/A"
"Farmington","IL","1725531","=""1725531""","26.36"
"Fayetteville","IL","1725713","=""1725713""","N/A"
"Ferris","IL","1725895","=""1725895""","N/A"
"Fidelity","IL","1725960","=""1725960""","N/A"
"Fieldon","IL","1726012","=""1726012""","N/A"
"Fillmore","IL","1726077","=""1726077""","N/A"
"Findlay","IL","1726116","=""1726116""","N/A"
"Fisher","IL","1726194","=""1726194""","0.00"
"Fithian","IL","1726233","=""1726233""","N/A"
"Flanagan","IL","1726311","=""1726311""","0.00"
"Flat Rock","IL","1726350","=""1726350""","N/A"
"Flora","IL","1726454","=""1726454""","33.38"
"Floraville","IL","1726467","=""1726467""","N/A"
"Florence","IL","1726480","=""1726480""","N/A"
"Flossmoor","IL","1726571","=""1726571""","1.58"
"Foosland","IL","1726662","=""1726662""","N/A"
"Ford Heights","IL","1726710","=""1726710""","0.00"
"Forest City","IL","1726753","=""1726753""","N/A"
"Forest Lake","IL","1726896","=""1726896""","0.00"
"Forest Park","IL","1726935","=""1726935""","7.48"
"Forest View","IL","1726987","=""1726987""","N/A"
"Forrest","IL","1727026","=""1727026""","2.05"
"Forreston","IL","1727065","=""1727065""","0.00"
"Forsyth","IL","1727091","=""1727091""","0.00"
"Fox Lake","IL","1727442","=""1727442""","35.73"
"Fox Lake Hills","IL","1727455","=""1727455""","N/A"
"Fox River Grove","IL","1727533","=""1727533""","0.00"
"Frankfort","IL","1727624","=""1727624""","0.00"
"Frankfort Square","IL","1727644","=""1727644""","N/A"
"Franklin","IL","1727663","=""1727663""","N/A"
"Franklin Grove","IL","1727689","=""1727689""","13.95"
"Franklin Park","IL","1727702","=""1727702""","12.76"
"Freeburg","IL","1727806","=""1727806""","0.00"
"Freeman Spur","IL","1727858","=""1727858""","N/A"
"Freeport","IL","1727884","=""1727884""","30.55"
"Fulton","IL","1728144","=""1728144""","13.35"
"Fults","IL","1728170","=""1728170""","N/A"
"Gages Lake","IL","1728248","=""1728248""","21.50"
"Galatia","IL","1728261","=""1728261""","N/A"
"Galena","IL","1728300","=""1728300""","42.54"
"Galesburg","IL","1728326","=""1728326""","38.52"
"Galva","IL","1728430","=""1728430""","24.65"
"Garden Prairie","IL","1728612","=""1728612""","N/A"
"Gardner","IL","1728638","=""1728638""","24.03"
"Garrett","IL","1728742","=""1728742""","N/A"
"Gays","IL","1728807","=""1728807""","N/A"
"Geneseo","IL","1728846","=""1728846""","15.64"
"Geneva","IL","1728872","=""1728872""","0.13"
"Genoa","IL","1728898","=""1728898""","8.68"
