Census Tract,State,FIPS Code,Formatted FIPS,"Mean travel time to work in minutes, according the US Census Bur",,
17031031900,IL,17031031900,17031031900,36.5,,
17031032100,IL,17031032100,17031032100,37.3,,
17031040100,IL,17031040100,17031040100,36.3,,
17031040201,IL,17031040201,17031040201,37.7,,
17031040202,IL,17031040202,17031040202,36.4,,
17031040300,IL,17031040300,17031040300,34.3,,
17031040401,IL,17031040401,17031040401,38,,
17031040402,IL,17031040402,17031040402,36.4,,
17031040600,IL,17031040600,17031040600,36.2,,
17031040700,IL,17031040700,17031040700,36.1,,
17031040800,IL,17031040800,17031040800,39.7,,
17031040900,IL,17031040900,17031040900,38.1,,
17031050100,IL,17031050100,17031050100,36.6,,
17031050200,IL,17031050200,17031050200,39,,
17031050300,IL,17031050300,17031050300,35.9,,
17031050500,IL,17031050500,17031050500,35.8,,
17031050600,IL,17031050600,17031050600,34.5,,
17031050700,IL,17031050700,17031050700,31.8,,
17031050800,IL,17031050800,17031050800,38.2,,
17031050900,IL,17031050900,17031050900,35.8,,
17031051000,IL,17031051000,17031051000,39.1,,
17031051100,IL,17031051100,17031051100,33.7,,
17031051200,IL,17031051200,17031051200,35.4,,
17031051300,IL,17031051300,17031051300,34.3,,
17031051400,IL,17031051400,17031051400,32.8,,
17031060100,IL,17031060100,17031060100,34.3,,
17031060200,IL,17031060200,17031060200,36.8,,
17031060300,IL,17031060300,17031060300,36.4,,
17031060400,IL,17031060400,17031060400,38.4,,
17031060500,IL,17031060500,17031060500,34.9,,
17031060800,IL,17031060800,17031060800,34.9,,
17031060900,IL,17031060900,17031060900,37.3,,
17031061000,IL,17031061000,17031061000,32.1,,
17031061100,IL,17031061100,17031061100,34.9,,
17031061200,IL,17031061200,17031061200,37.8,,
17031061500,IL,17031061500,17031061500,36.3,,
17031061800,IL,17031061800,17031061800,39.1,,
17031061901,IL,17031061901,17031061901,34,,
17031061902,IL,17031061902,17031061902,31.1,,
17031062000,IL,17031062000,17031062000,33.1,,
17031062100,IL,17031062100,17031062100,31.8,,
17031062200,IL,17031062200,17031062200,33.5,,
17031062300,IL,17031062300,17031062300,33.7,,
17031062400,IL,17031062400,17031062400,35.9,,
17031062500,IL,17031062500,17031062500,35,,
17031062600,IL,17031062600,17031062600,38.7,,
17031062700,IL,17031062700,17031062700,30.4,,
17031062800,IL,17031062800,17031062800,34.5,,
17031062900,IL,17031062900,17031062900,32.9,,
17031063000,IL,17031063000,17031063000,29.2,,
