"City","State","FIPS Code","Formatted FIPS","Mean travel time to work in minutes, according the US Census Bur"
"Wenonah","IL","1779826","=""1779826""","N/A"
"West Brooklyn","IL","1780008","=""1780008""","N/A"
"Westchester","IL","1780047","=""1780047""","29.60"
"West Chicago","IL","1780060","=""1780060""","24.10"
"West City","IL","1780073","=""1780073""","N/A"
"West Dundee","IL","1780125","=""1780125""","29.60"
"Western Springs","IL","1780242","=""1780242""","31.90"
"Westervelt","IL","1780255","=""1780255""","N/A"
"Westfield","IL","1780281","=""1780281""","N/A"
"West Frankfort","IL","1780333","=""1780333""","23.30"
"Westmont","IL","1780645","=""1780645""","28.50"
"West Peoria","IL","1780736","=""1780736""","18.90"
"West Point","IL","1780762","=""1780762""","N/A"
"West Salem","IL","1780853","=""1780853""","N/A"
"West Union","IL","1780879","=""1780879""","N/A"
"Westville","IL","1780931","=""1780931""","17.80"
"West York","IL","1780957","=""1780957""","N/A"
"Wheaton","IL","1781048","=""1781048""","N/A"
"Wheeler","IL","1781074","=""1781074""","N/A"
"Wheeling","IL","1781087","=""1781087""","25.20"
"Whiteash","IL","1781165","=""1781165""","N/A"
"White City","IL","1781191","=""1781191""","N/A"
"White Hall","IL","1781256","=""1781256""","24.40"
"White Heath","IL","1781295","=""1781295""","N/A"
"Williamsfield","IL","1781802","=""1781802""","N/A"
"Williamson","IL","1781815","=""1781815""","N/A"
"Williamsville","IL","1781854","=""1781854""","22.30"
"Willisville","IL","1781867","=""1781867""","N/A"
"Willowbrook","IL","1781919","=""1781919""","26.90"
"Willowbrook","IL","1781938","=""1781938""","N/A"
"Willow Hill","IL","1782010","=""1782010""","N/A"
"Willow Springs","IL","1782049","=""1782049""","38.20"
"Wilmette","IL","1782075","=""1782075""","33.80"
"Wilmington","IL","1782088","=""1782088""","29.40"
"Wilmington","IL","1782101","=""1782101""","N/A"
"Wilsonville","IL","1782218","=""1782218""","N/A"
"Winchester","IL","1782270","=""1782270""","22.70"
"Windsor","IL","1782309","=""1782309""","N/A"
"Windsor","IL","1782322","=""1782322""","28.10"
"Winfield","IL","1782400","=""1782400""","29.60"
"Winnebago","IL","1782491","=""1782491""","24.10"
"Winnetka","IL","1782530","=""1782530""","35.20"
"Winslow","IL","1782543","=""1782543""","N/A"
"Winthrop Harbor","IL","1782686","=""1782686""","28.40"
"Witt","IL","1782725","=""1782725""","N/A"
"Wonder Lake","IL","1782855","=""1782855""","38.90"
"Wood Dale","IL","1782985","=""1782985""","27.00"
"Woodhull","IL","1783063","=""1783063""","N/A"
"Woodland","IL","1783102","=""1783102""","N/A"
"Woodlawn","IL","1783206","=""1783206""","N/A"
"Woodridge","IL","1783245","=""1783245""","30.90"
"Wood River","IL","1783271","=""1783271""","22.10"
"Woodson","IL","1783336","=""1783336""","N/A"
"Woodstock","IL","1783349","=""1783349""","29.80"
"Worden","IL","1783505","=""1783505""","29.00"
"Worth","IL","1783518","=""1783518""","32.40"
"Wyanet","IL","1783622","=""1783622""","N/A"
"Wyoming","IL","1783687","=""1783687""","24.60"
"Xenia","IL","1783739","=""1783739""","N/A"
"Yale","IL","1783765","=""1783765""","N/A"
"Yates City","IL","1783817","=""1783817""","N/A"
"Yorkville","IL","1784038","=""1784038""","31.60"
"Zeigler","IL","1784155","=""1784155""","25.60"
"Zion","IL","1784220","=""1784220""","29.20"

"Location: United States"

"City Boundary Year: 2010"

"Indicator source: IHDA"
"http://www.policymap.com/our-data-directory.html#https://www.ihda.org/developers/market-research/opportunity-areas/"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
